,TX_AMOUNT,CUSTOMER_ID_NB_TX_1DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW,CUSTOMER_ID_NB_TX_7DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW,CUSTOMER_ID_NB_TX_30DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW,TERMINAL_ID_NB_TX_1DAY_WINDOW,TERMINAL_ID_RISK_1DAY_WINDOW,TERMINAL_ID_NB_TX_7DAY_WINDOW,TERMINAL_ID_RISK_7DAY_WINDOW,TERMINAL_ID_NB_TX_30DAY_WINDOW,TERMINAL_ID_RISK_30DAY_WINDOW,TX_DURING_WEEKEND,TX_DURING_NIGHT,TX_FRAUD,TX_AMOUNT>221.75,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=218.92,CUSTOMER_ID_NB_TX_7DAY_WINDOW>22.50,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=147.43,CUSTOMER_ID_NB_TX_30DAY_WINDOW>91.50,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=114.53,CUSTOMER_ID_NB_TX_1DAY_WINDOW>3.50,TERMINAL_ID_RISK_1DAY_WINDOW<=0.42,TERMINAL_ID_RISK_7DAY_WINDOW<=0.27,TERMINAL_ID_RISK_30DAY_WINDOW<=0.10,TX_DURING_NIGHT<=0.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50,TERMINAL_ID_NB_TX_30DAY_WINDOW>26.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=1.50,"TX_AMOUNT<=221.75,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=2.10","TX_AMOUNT<=221.75,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=13.74","TX_AMOUNT<=221.75,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=5.12","TX_AMOUNT<=221.75,TERMINAL_ID_RISK_1DAY_WINDOW<=0.42","TX_AMOUNT<=221.75,TERMINAL_ID_RISK_7DAY_WINDOW<=0.27","TX_AMOUNT<=221.75,TERMINAL_ID_RISK_30DAY_WINDOW<=0.10","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>147.43,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=4.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.42,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=4.50","TX_DURING_NIGHT>0.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=4.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>218.92,TERMINAL_ID_RISK_1DAY_WINDOW<=0.42","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>218.92,TERMINAL_ID_NB_TX_30DAY_WINDOW<=10.50","CUSTOMER_ID_NB_TX_7DAY_WINDOW<=22.50,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=52.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.42,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=23.50","TX_DURING_NIGHT>0.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=22.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.42,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=90.06","TERMINAL_ID_RISK_7DAY_WINDOW>0.27,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=95.87","TERMINAL_ID_RISK_30DAY_WINDOW>0.10,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=96.98","TERMINAL_ID_RISK_1DAY_WINDOW>0.42,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=124.00","TERMINAL_ID_RISK_7DAY_WINDOW>0.27,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=123.00","TX_DURING_NIGHT>0.50,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=132.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.42,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=105.93","TERMINAL_ID_RISK_7DAY_WINDOW>0.27,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=92.99","TERMINAL_ID_RISK_30DAY_WINDOW>0.10,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=102.05","TERMINAL_ID_RISK_1DAY_WINDOW>0.42,TERMINAL_ID_NB_TX_1DAY_WINDOW<=2.50","TERMINAL_ID_NB_TX_1DAY_WINDOW>0.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=6.50","TX_DURING_NIGHT>0.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.42,TERMINAL_ID_NB_TX_7DAY_WINDOW<=9.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.42,TERMINAL_ID_RISK_7DAY_WINDOW<=0.82","TERMINAL_ID_RISK_1DAY_WINDOW>0.42,TERMINAL_ID_NB_TX_30DAY_WINDOW<=22.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.42,TERMINAL_ID_RISK_30DAY_WINDOW<=0.04","TERMINAL_ID_RISK_1DAY_WINDOW>0.42,TX_DURING_NIGHT<=0.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.27,TERMINAL_ID_NB_TX_7DAY_WINDOW<=6.50","TERMINAL_ID_NB_TX_30DAY_WINDOW<=26.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=9.50","TERMINAL_ID_RISK_30DAY_WINDOW>0.10,TERMINAL_ID_NB_TX_7DAY_WINDOW<=6.50","TX_DURING_NIGHT>0.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=1.50","TX_DURING_NIGHT>0.50,TERMINAL_ID_NB_TX_30DAY_WINDOW<=12.50"
0,19.7,6.0,20.578333333333333,29.0,20.518965517241394,116.0,22.646206896551757,1.0,0.0,7.0,0.0,24.0,0.0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1.49,10.0,6.252999999999998,38.0,6.591578947368424,95.0,6.866105263157893,2.0,0.0,9.0,0.0,30.0,0.0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,46.85,4.0,38.82750000000001,29.0,36.21448275862069,108.0,37.70555555555556,1.0,0.0,4.0,0.25,24.0,0.041666666666666664,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3,11.85,1.0,11.850000000000009,4.0,15.764999999999988,28.0,16.873571428571424,0.0,0.0,3.0,0.0,23.0,0.0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4,74.35,4.0,81.05250000000001,24.0,65.18666666666664,112.0,60.1533035714286,0.0,0.0,4.0,0.0,23.0,0.0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5,33.38,3.0,46.666666666666664,16.0,42.50562500000002,76.0,41.22078947368422,0.0,0.0,6.0,0.0,18.0,0.0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
6,7.93,3.0,20.450000000000003,10.0,17.66800000000001,47.0,18.092553191489365,1.0,0.0,5.0,0.0,20.0,0.0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
7,81.79,2.0,76.255,22.0,58.87545454545455,103.0,51.74087378640778,1.0,0.0,3.0,0.0,20.0,0.0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
8,137.53,5.0,110.48399999999997,24.0,100.54916666666661,81.0,97.99432098765433,0.0,0.0,1.0,0.0,16.0,0.0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
9,101.61,2.0,56.06000000000002,6.0,64.36666666666665,39.0,70.96538461538462,0.0,0.0,5.0,0.0,20.0,0.0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10,37.15,10.0,21.747000000000007,34.0,20.990588235294123,106.0,21.591226415094333,0.0,0.0,1.0,0.0,8.0,0.0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
11,61.54,5.0,51.97800000000001,25.0,59.876000000000005,106.0,57.71660377358496,0.0,0.0,4.0,0.0,22.0,0.0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
12,22.83,5.0,26.564,23.0,29.56086956521738,92.0,27.261521739130423,1.0,0.0,4.0,0.0,20.0,0.0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
13,127.85,2.0,134.48499999999984,19.0,98.11578947368422,114.0,100.51175438596496,1.0,0.0,3.0,0.0,17.0,0.0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
14,30.23,3.0,79.63,27.0,64.58518518518532,121.0,74.83495867768589,1.0,0.0,8.0,0.0,23.0,0.0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,9.01,1.0,9.009999999999996,9.0,8.986666666666666,30.0,8.847333333333333,2.0,0.0,5.0,0.0,23.0,0.0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
16,29.06,5.0,32.12199999999996,23.0,44.58869565217395,95.0,44.798736842105285,0.0,0.0,2.0,0.0,17.0,0.0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
