,TX_AMOUNT,CUSTOMER_ID_NB_TX_1DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW,CUSTOMER_ID_NB_TX_7DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW,CUSTOMER_ID_NB_TX_30DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW,TERMINAL_ID_NB_TX_1DAY_WINDOW,TERMINAL_ID_RISK_1DAY_WINDOW,TERMINAL_ID_NB_TX_7DAY_WINDOW,TERMINAL_ID_RISK_7DAY_WINDOW,TERMINAL_ID_NB_TX_30DAY_WINDOW,TERMINAL_ID_RISK_30DAY_WINDOW,TX_DURING_WEEKEND,TX_DURING_NIGHT,TX_FRAUD,TX_AMOUNT>219.90,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=208.36,CUSTOMER_ID_NB_TX_1DAY_WINDOW>4.50,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=135.55,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=57.50,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=107.76,TERMINAL_ID_RISK_1DAY_WINDOW<=0.83,TERMINAL_ID_RISK_7DAY_WINDOW<=0.23,TERMINAL_ID_NB_TX_30DAY_WINDOW>8.50,TERMINAL_ID_RISK_30DAY_WINDOW<=0.12,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=7.50,TERMINAL_ID_NB_TX_7DAY_WINDOW>2.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50,TX_DURING_NIGHT<=0.50,"TX_AMOUNT<=219.90,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=214.56","TX_AMOUNT<=219.90,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=122.79","TX_AMOUNT<=219.90,TERMINAL_ID_RISK_1DAY_WINDOW<=0.83","TX_AMOUNT<=219.90,TERMINAL_ID_RISK_7DAY_WINDOW<=0.23","TX_AMOUNT<=219.90,TERMINAL_ID_RISK_30DAY_WINDOW<=0.03","CUSTOMER_ID_NB_TX_1DAY_WINDOW<=4.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=26.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.83,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=1.50","TERMINAL_ID_NB_TX_30DAY_WINDOW<=8.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=5.50","CUSTOMER_ID_NB_TX_7DAY_WINDOW>7.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.83,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=28.00","TERMINAL_ID_NB_TX_7DAY_WINDOW<=2.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=27.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.23,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=15.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.83,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=124.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.23,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=80.00","TERMINAL_ID_RISK_7DAY_WINDOW>0.23,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=6.96","TERMINAL_ID_RISK_1DAY_WINDOW>0.83,TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50","TERMINAL_ID_NB_TX_1DAY_WINDOW>0.50,TX_DURING_NIGHT<=0.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.83,TERMINAL_ID_NB_TX_7DAY_WINDOW<=3.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.83,TERMINAL_ID_NB_TX_30DAY_WINDOW<=15.00","TERMINAL_ID_RISK_1DAY_WINDOW>0.83,TX_DURING_NIGHT<=0.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.23,TERMINAL_ID_NB_TX_30DAY_WINDOW<=30.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.23,TERMINAL_ID_RISK_30DAY_WINDOW<=0.04"
0,33.46,4.0,56.66000000000001,22.0,53.76363636363637,82.0,52.79585365853658,1.0,0.0,6.0,0.0,32.0,0.03125,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,48.79,2.0,43.52499999999988,23.0,40.315652173913094,93.0,40.31301075268814,1.0,0.0,7.0,0.0,21.0,0.0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,103.48,7.0,92.04571428571423,23.0,70.03391304347821,105.0,73.14104761904755,0.0,0.0,3.0,0.0,16.0,0.0,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,40.01,2.0,45.06500000000004,17.0,32.434705882352944,75.0,33.750400000000006,0.0,0.0,7.0,0.0,26.0,0.0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2.3,5.0,10.437999999999999,11.0,12.113636363636363,49.0,12.296530612244899,2.0,0.0,6.0,0.0,19.0,0.0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,8.89,3.0,6.13666666666667,9.0,6.285555555555557,57.0,5.573333333333332,2.0,0.0,4.0,0.0,18.0,0.0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3.3,2.0,9.220000000000008,9.0,12.614444444444445,50.0,12.441399999999996,2.0,0.0,4.0,0.0,17.0,0.0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,120.53,3.0,100.00333333333327,18.0,92.76055555555553,73.0,80.80739726027402,0.0,0.0,4.0,0.0,23.0,0.0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9.04,3.0,5.620000000000001,12.0,6.62333333333333,56.0,6.466964285714286,4.0,0.0,5.0,0.0,32.0,0.0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,130.6,4.0,97.7475,23.0,80.25999999999986,102.0,78.07254901960792,1.0,0.0,8.0,0.0,23.0,0.0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,19.42,5.0,32.58599999999998,24.0,29.24583333333332,119.0,28.849159663865542,1.0,0.0,4.0,0.0,13.0,0.07692307692307693,0,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,7.72,2.0,13.170000000000002,29.0,17.8548275862069,107.0,17.113457943925244,0.0,0.0,4.0,0.0,18.0,0.0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,18.41,2.0,29.764999999999986,16.0,28.405624999999972,84.0,23.733928571428567,0.0,0.0,6.0,0.0,22.0,0.0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,38.71,3.0,42.95666666666665,15.0,39.12133333333332,54.0,36.362222222222215,1.0,0.0,8.0,0.0,24.0,0.041666666666666664,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
