,TX_AMOUNT,CUSTOMER_ID_NB_TX_1DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW,CUSTOMER_ID_NB_TX_7DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW,CUSTOMER_ID_NB_TX_30DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW,TERMINAL_ID_NB_TX_1DAY_WINDOW,TERMINAL_ID_RISK_1DAY_WINDOW,TERMINAL_ID_NB_TX_7DAY_WINDOW,TERMINAL_ID_RISK_7DAY_WINDOW,TERMINAL_ID_NB_TX_30DAY_WINDOW,TERMINAL_ID_RISK_30DAY_WINDOW,TX_DURING_WEEKEND,TX_DURING_NIGHT,TX_FRAUD,TX_AMOUNT<=216.82,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=278.83,CUSTOMER_ID_NB_TX_7DAY_WINDOW>11.50,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=164.62,CUSTOMER_ID_NB_TX_30DAY_WINDOW>53.50,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=120.40,TERMINAL_ID_NB_TX_1DAY_WINDOW<=3.50,TERMINAL_ID_RISK_1DAY_WINDOW<=0.17,TERMINAL_ID_NB_TX_7DAY_WINDOW>11.50,TERMINAL_ID_RISK_7DAY_WINDOW<=0.78,TERMINAL_ID_NB_TX_30DAY_WINDOW>31.50,TERMINAL_ID_RISK_30DAY_WINDOW<=0.08,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=6.50,TX_DURING_NIGHT<=0.50,"TX_AMOUNT>216.82,TERMINAL_ID_RISK_7DAY_WINDOW<=0.78","CUSTOMER_ID_NB_TX_7DAY_WINDOW<=11.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=4.50","TERMINAL_ID_NB_TX_1DAY_WINDOW>3.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=3.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.17,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=4.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.78,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=1.50","TERMINAL_ID_RISK_30DAY_WINDOW>0.08,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=1.50","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>164.62,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=17.50","TERMINAL_ID_NB_TX_1DAY_WINDOW>3.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=19.50","TERMINAL_ID_NB_TX_7DAY_WINDOW<=11.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=19.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.78,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=6.50","CUSTOMER_ID_NB_TX_7DAY_WINDOW<=11.50,TERMINAL_ID_NB_TX_30DAY_WINDOW<=27.50","TERMINAL_ID_RISK_30DAY_WINDOW>0.08,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=6.50","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>164.62,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=83.50","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>164.62,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=133.92","TERMINAL_ID_RISK_30DAY_WINDOW>0.08,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=38.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.17,TERMINAL_ID_NB_TX_1DAY_WINDOW<=2.50","TERMINAL_ID_NB_TX_7DAY_WINDOW<=11.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=2.50","TERMINAL_ID_NB_TX_1DAY_WINDOW>3.50,TERMINAL_ID_NB_TX_30DAY_WINDOW<=25.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.17,TERMINAL_ID_NB_TX_7DAY_WINDOW<=11.00","TERMINAL_ID_NB_TX_7DAY_WINDOW<=11.50,TERMINAL_ID_NB_TX_30DAY_WINDOW<=27.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.78,TERMINAL_ID_RISK_30DAY_WINDOW<=0.31"
0,66.46,4.0,87.92000000000009,24.0,62.872916666666676,87.0,60.834597701149356,2.0,0.0,10.0,0.0,27.0,0.037037037037037035,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,84.67,6.0,75.4933333333333,28.0,80.28071428571437,97.0,83.20237113402071,0.0,0.0,3.0,0.0,24.0,0.0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2,54.15,3.0,52.3299999999999,8.0,70.64999999999996,68.0,67.80250000000001,0.0,0.0,5.0,0.0,22.0,0.0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
3,89.93,4.0,44.68499999999996,22.0,36.42727272727273,94.0,39.54478723404252,0.0,0.0,4.0,0.0,24.0,0.0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4,21.68,3.0,18.90666666666666,16.0,18.020000000000007,70.0,19.997000000000003,0.0,0.0,5.0,0.0,17.0,0.0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
5,10.99,7.0,43.08857142857143,32.0,46.31343749999999,128.0,51.081171874999995,1.0,0.0,6.0,0.0,16.0,0.0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
6,33.83,4.0,60.62749999999991,30.0,74.90066666666662,114.0,73.22342105263154,1.0,0.0,12.0,0.0,34.0,0.0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,138.17,5.0,102.38799999999995,25.0,65.4184,88.0,73.82602272727274,1.0,0.0,4.0,0.0,11.0,0.0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
8,104.8,5.0,83.06800000000003,24.0,97.3895833333334,110.0,96.26454545454548,0.0,0.0,6.0,0.0,33.0,0.0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,67.11,3.0,61.749999999999964,12.0,71.1025,47.0,70.37085106382976,0.0,0.0,3.0,0.0,19.0,0.0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
10,56.78,4.0,75.82249999999996,13.0,79.74076923076925,45.0,67.02866666666667,1.0,0.0,4.0,0.0,17.0,0.0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
11,85.67,2.0,86.76500000000016,28.0,94.32142857142858,95.0,86.99378947368423,1.0,0.0,9.0,0.0,31.0,0.0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,63.48,2.0,57.879999999999995,16.0,38.43625,54.0,37.12500000000001,0.0,0.0,5.0,0.0,33.0,0.0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
13,54.84,3.0,96.45666666666652,18.0,92.52277777777778,104.0,100.14548076923083,2.0,0.0,6.0,0.0,18.0,0.0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
14,26.7,6.0,40.285000000000025,31.0,42.67612903225808,86.0,44.43430232558139,0.0,0.0,0.0,0.0,7.0,0.0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
