,TX_AMOUNT,CUSTOMER_ID_NB_TX_1DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW,CUSTOMER_ID_NB_TX_7DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW,CUSTOMER_ID_NB_TX_30DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW,TERMINAL_ID_NB_TX_1DAY_WINDOW,TERMINAL_ID_RISK_1DAY_WINDOW,TERMINAL_ID_NB_TX_7DAY_WINDOW,TERMINAL_ID_RISK_7DAY_WINDOW,TERMINAL_ID_NB_TX_30DAY_WINDOW,TERMINAL_ID_RISK_30DAY_WINDOW,TX_DURING_WEEKEND,TX_DURING_NIGHT,TX_FRAUD,TX_AMOUNT>220.91,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=215.80,CUSTOMER_ID_NB_TX_7DAY_WINDOW>28.50,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=155.89,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=111.50,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=95.65,TERMINAL_ID_NB_TX_1DAY_WINDOW>2.50,TERMINAL_ID_RISK_1DAY_WINDOW<=0.42,TERMINAL_ID_NB_TX_7DAY_WINDOW>3.50,TERMINAL_ID_RISK_7DAY_WINDOW<=0.55,TERMINAL_ID_NB_TX_30DAY_WINDOW>9.50,TERMINAL_ID_RISK_30DAY_WINDOW<=0.13,CUSTOMER_ID_NB_TX_1DAY_WINDOW>7.50,TX_DURING_NIGHT>0.50,"TX_AMOUNT<=220.91,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=234.31","TX_AMOUNT<=220.91,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=193.99","TX_AMOUNT<=220.91,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75","TX_AMOUNT<=220.91,TERMINAL_ID_RISK_7DAY_WINDOW<=0.55","TX_AMOUNT<=220.91,TERMINAL_ID_RISK_30DAY_WINDOW<=0.13","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>155.89,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=5.50","TERMINAL_ID_NB_TX_1DAY_WINDOW<=2.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=7.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.42,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=2.50","TX_DURING_NIGHT<=0.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=5.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>215.80,TERMINAL_ID_RISK_7DAY_WINDOW<=0.55","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>215.80,TERMINAL_ID_NB_TX_30DAY_WINDOW<=21.00","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>215.80,TERMINAL_ID_RISK_30DAY_WINDOW<=0.13","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>155.89,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=24.50","CUSTOMER_ID_NB_TX_30DAY_WINDOW>111.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=28.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.42,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=18.50","TERMINAL_ID_NB_TX_30DAY_WINDOW<=9.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=13.50","TX_DURING_NIGHT<=0.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=28.50","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>155.89,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=80.50","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>155.89,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=118.77","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>155.89,TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>155.89,TERMINAL_ID_RISK_7DAY_WINDOW<=0.55","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>155.89,TERMINAL_ID_RISK_30DAY_WINDOW<=0.13","TERMINAL_ID_RISK_1DAY_WINDOW>0.42,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=50.00","TERMINAL_ID_NB_TX_7DAY_WINDOW<=3.50,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=7.50","TERMINAL_ID_NB_TX_30DAY_WINDOW<=9.50,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=40.50","TX_DURING_NIGHT<=0.50,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=111.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.42,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=95.93","TERMINAL_ID_RISK_1DAY_WINDOW>0.42,TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50","TERMINAL_ID_NB_TX_30DAY_WINDOW<=9.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50","TX_DURING_NIGHT<=0.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=2.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.42,TERMINAL_ID_NB_TX_7DAY_WINDOW<=10.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.42,TERMINAL_ID_NB_TX_30DAY_WINDOW<=34.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.42,TX_DURING_NIGHT<=0.50","TERMINAL_ID_NB_TX_30DAY_WINDOW<=9.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=2.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.55,TERMINAL_ID_NB_TX_30DAY_WINDOW<=14.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.55,TERMINAL_ID_RISK_30DAY_WINDOW<=0.21"
0,111.66,3.0,74.21333333333335,20.0,84.745,72.0,86.42819444444449,2.0,0.0,6.0,0.0,14.0,0.0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,74.66,2.0,65.495,18.0,40.874444444444464,96.0,35.935624999999995,0.0,0.0,3.0,0.0,22.0,0.0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,84.01,3.0,80.1833333333335,23.0,88.35739130434777,108.0,90.41055555555549,0.0,0.0,6.0,0.0,21.0,0.0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,49.26,1.0,49.25999999999991,6.0,59.77500000000004,25.0,70.45639999999999,1.0,0.0,3.0,0.0,14.0,0.0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,46.68,4.0,86.49499999999999,8.0,104.38875000000002,29.0,81.12344827586212,1.0,0.0,5.0,0.0,16.0,0.0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,30.61,3.0,47.23666666666666,17.0,36.512941176470605,58.0,30.750344827586204,1.0,0.0,2.0,0.0,14.0,0.0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,23.47,3.0,25.73333333333332,24.0,31.861666666666668,106.0,26.876792452830195,1.0,0.0,4.0,0.0,9.0,0.0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,57.34,9.0,69.90777777777778,33.0,66.07000000000001,106.0,67.90330188679246,3.0,0.0,4.0,0.0,17.0,0.0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,59.29,3.0,39.19333333333349,19.0,65.09368421052629,106.0,62.436415094339615,0.0,0.0,2.0,0.0,20.0,0.0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3.22,2.0,1.7349999999999886,15.0,5.838666666666664,37.0,7.532432432432428,2.0,0.0,6.0,0.0,19.0,0.0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,9.5,2.0,10.219999999999995,9.0,11.913333333333323,36.0,10.214166666666669,0.0,0.0,6.0,0.0,26.0,0.0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,108.12,5.0,88.57200000000007,16.0,92.63937499999983,116.0,98.67465517241389,0.0,0.0,0.0,0.0,11.0,0.0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,67.27,6.0,57.90166666666672,20.0,58.07850000000004,87.0,60.07896551724134,0.0,0.0,3.0,0.0,19.0,0.0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,52.71,4.0,41.08000000000003,36.0,36.756111111111096,138.0,40.39297101449273,0.0,0.0,3.0,0.0,16.0,0.0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,47.42,2.0,27.795000000000044,7.0,77.9142857142857,24.0,85.7358333333333,3.0,0.0,7.0,0.0,23.0,0.0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,132.79,4.0,93.33500000000012,24.0,90.20874999999995,109.0,90.79935779816508,1.0,0.0,3.0,0.0,11.0,0.0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,29.09,1.0,29.090000000000025,16.0,22.421874999999986,66.0,19.225606060606065,0.0,0.0,0.0,0.0,10.0,0.0,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
