,TX_AMOUNT,CUSTOMER_ID_NB_TX_1DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW,CUSTOMER_ID_NB_TX_7DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW,CUSTOMER_ID_NB_TX_30DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW,TERMINAL_ID_NB_TX_1DAY_WINDOW,TERMINAL_ID_RISK_1DAY_WINDOW,TERMINAL_ID_NB_TX_7DAY_WINDOW,TERMINAL_ID_RISK_7DAY_WINDOW,TERMINAL_ID_NB_TX_30DAY_WINDOW,TERMINAL_ID_RISK_30DAY_WINDOW,TX_DURING_WEEKEND,TX_DURING_NIGHT,TX_FRAUD,TX_AMOUNT>219.78,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>269.86,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=32.50,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=131.69,CUSTOMER_ID_NB_TX_30DAY_WINDOW>11.50,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW>147.03,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75,TERMINAL_ID_NB_TX_7DAY_WINDOW<=2.50,TERMINAL_ID_RISK_7DAY_WINDOW<=0.62,TERMINAL_ID_NB_TX_30DAY_WINDOW>28.50,TERMINAL_ID_RISK_30DAY_WINDOW<=0.17,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=3.50,TX_DURING_NIGHT<=0.50,"TX_AMOUNT<=219.78,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75","TX_AMOUNT<=219.78,TERMINAL_ID_RISK_7DAY_WINDOW<=0.62","TX_AMOUNT<=219.78,TERMINAL_ID_RISK_30DAY_WINDOW<=0.17","CUSTOMER_ID_NB_TX_7DAY_WINDOW>32.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=5.50","TERMINAL_ID_NB_TX_1DAY_WINDOW>0.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=2.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=2.50","TERMINAL_ID_NB_TX_7DAY_WINDOW>2.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=3.50","CUSTOMER_ID_NB_TX_1DAY_WINDOW>3.50,TX_DURING_NIGHT<=0.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=269.86,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=269.86,TERMINAL_ID_NB_TX_7DAY_WINDOW<=8.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=269.86,TERMINAL_ID_RISK_7DAY_WINDOW<=0.62","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=269.86,TERMINAL_ID_NB_TX_30DAY_WINDOW<=29.00","CUSTOMER_ID_NB_TX_7DAY_WINDOW>32.50,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=113.50","CUSTOMER_ID_NB_TX_7DAY_WINDOW>32.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=19.50","CUSTOMER_ID_NB_TX_7DAY_WINDOW>32.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=1.50","TERMINAL_ID_NB_TX_30DAY_WINDOW<=28.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=14.50","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>131.69,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=11.00","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>131.69,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.62,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=131.69","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>131.69,TERMINAL_ID_NB_TX_30DAY_WINDOW<=9.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=93.50","CUSTOMER_ID_NB_TX_30DAY_WINDOW<=11.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=0.50","TERMINAL_ID_NB_TX_30DAY_WINDOW<=28.50,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=98.50","CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=147.03,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75","TERMINAL_ID_RISK_7DAY_WINDOW>0.62,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=147.03","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50","TERMINAL_ID_NB_TX_1DAY_WINDOW>0.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=7.50","TERMINAL_ID_NB_TX_30DAY_WINDOW<=28.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50","TERMINAL_ID_NB_TX_1DAY_WINDOW>0.50,TX_DURING_NIGHT<=0.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_7DAY_WINDOW<=2.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_30DAY_WINDOW<=31.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_RISK_30DAY_WINDOW<=0.17","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TX_DURING_NIGHT<=0.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.62,TERMINAL_ID_NB_TX_7DAY_WINDOW<=4.50","TERMINAL_ID_NB_TX_30DAY_WINDOW<=28.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=2.50","TERMINAL_ID_NB_TX_7DAY_WINDOW>2.50,TX_DURING_NIGHT<=0.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.62,TERMINAL_ID_NB_TX_30DAY_WINDOW<=30.00","TERMINAL_ID_RISK_7DAY_WINDOW>0.62,TERMINAL_ID_RISK_30DAY_WINDOW<=0.23"
0,94.45,1.0,94.4500000000001,19.0,80.37052631578945,89.0,78.83898876404496,0.0,0.0,7.0,0.0,28.0,0.0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,80.43,6.0,68.01500000000001,30.0,60.66333333333332,109.0,57.894862385321076,0.0,0.0,4.0,0.0,24.0,0.0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,12.15,4.0,6.660000000000009,29.0,9.455517241379304,104.0,9.250769230769233,1.0,0.0,6.0,0.0,16.0,0.0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,95.32,1.0,95.3199999999999,12.0,70.83750000000002,46.0,71.22326086956524,0.0,0.0,3.0,0.0,13.0,0.0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,79.12,1.0,79.12,2.0,67.19999999999999,16.0,63.01125,0.0,0.0,4.0,0.0,20.0,0.0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,7.71,3.0,7.513333333333331,13.0,6.92538461538461,63.0,6.61031746031746,1.0,0.0,5.0,0.0,24.0,0.0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,49.69,2.0,31.17500000000006,19.0,41.2442105263158,90.0,49.697888888888926,0.0,0.0,1.0,0.0,16.0,0.0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7,56.13,4.0,60.18000000000001,14.0,54.91285714285717,46.0,52.0921739130435,1.0,0.0,8.0,0.0,29.0,0.0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6.77,6.0,7.555000000000011,34.0,7.939999999999996,110.0,8.161727272727274,2.0,0.0,3.0,0.0,17.0,0.0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,62.92,2.0,33.039999999999964,25.0,32.39279999999999,99.0,29.68757575757577,0.0,0.0,4.0,0.0,24.0,0.0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,58.22,5.0,109.43199999999999,13.0,86.95615384615395,58.0,88.71172413793114,1.0,0.0,1.0,0.0,12.0,0.0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
11,39.96,6.0,81.83833333333328,23.0,95.4673913043478,66.0,95.17575757575752,0.0,0.0,5.0,0.0,16.0,0.0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,36.21,1.0,36.210000000000086,9.0,85.68555555555558,49.0,86.2608163265306,0.0,0.0,1.0,0.0,13.0,0.0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
13,198.18,3.0,121.74666666666668,25.0,98.86000000000001,109.0,109.51174311926603,0.0,0.0,3.0,0.0,9.0,0.0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,7.6,4.0,5.162500000000005,20.0,5.173000000000002,95.0,5.535894736842106,3.0,0.0,5.0,0.0,27.0,0.0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,104.78,3.0,67.93666666666665,9.0,82.0555555555556,44.0,73.43386363636363,0.0,0.0,5.0,0.0,18.0,0.0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16,59.92,4.0,41.30000000000002,28.0,45.85857142857143,108.0,42.43481481481485,0.0,0.0,4.0,0.0,22.0,0.0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,90.37,5.0,68.01000000000002,20.0,62.27399999999998,110.0,58.46309090909091,1.0,0.0,5.0,0.0,23.0,0.0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
