,TX_AMOUNT,CUSTOMER_ID_NB_TX_1DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW,CUSTOMER_ID_NB_TX_7DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW,CUSTOMER_ID_NB_TX_30DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW,TERMINAL_ID_NB_TX_1DAY_WINDOW,TERMINAL_ID_RISK_1DAY_WINDOW,TERMINAL_ID_NB_TX_7DAY_WINDOW,TERMINAL_ID_RISK_7DAY_WINDOW,TERMINAL_ID_NB_TX_30DAY_WINDOW,TERMINAL_ID_RISK_30DAY_WINDOW,TX_DURING_WEEKEND,TX_DURING_NIGHT,TX_AMOUNT>219.49,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=289.90,CUSTOMER_ID_NB_TX_7DAY_WINDOW>27.50,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=211.04,CUSTOMER_ID_NB_TX_30DAY_WINDOW>91.50,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=121.43,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=8.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=9.50,TERMINAL_ID_RISK_7DAY_WINDOW<=0.42,TERMINAL_ID_NB_TX_30DAY_WINDOW>16.50,TERMINAL_ID_RISK_30DAY_WINDOW<=0.09,TX_DURING_NIGHT<=0.50,TERMINAL_ID_RISK_1DAY_WINDOW<=0.10,"TX_AMOUNT<=219.49,TERMINAL_ID_RISK_7DAY_WINDOW<=0.42","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>289.90,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=1.50","CUSTOMER_ID_NB_TX_7DAY_WINDOW<=27.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=8.50","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>211.04,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=1.50","CUSTOMER_ID_NB_TX_30DAY_WINDOW<=91.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=8.50","TERMINAL_ID_NB_TX_1DAY_WINDOW>0.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=8.50","TX_DURING_NIGHT>0.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=1.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>289.90,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=236.43","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>289.90,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=116.97","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>289.90,TERMINAL_ID_RISK_7DAY_WINDOW<=0.42","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>289.90,TERMINAL_ID_NB_TX_30DAY_WINDOW<=23.00","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>289.90,TX_DURING_NIGHT<=0.50","CUSTOMER_ID_NB_TX_30DAY_WINDOW<=91.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=33.50","CUSTOMER_ID_NB_TX_7DAY_WINDOW<=27.50,TERMINAL_ID_NB_TX_30DAY_WINDOW<=17.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.42,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=211.04","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>211.04,TERMINAL_ID_NB_TX_30DAY_WINDOW<=23.00","TERMINAL_ID_RISK_7DAY_WINDOW>0.42,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=91.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.42,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=58.45","TERMINAL_ID_NB_TX_1DAY_WINDOW>0.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=9.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.42,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.42,TERMINAL_ID_RISK_1DAY_WINDOW<=0.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.10,TX_DURING_WEEKEND<=-2.00","TX_DURING_NIGHT>0.50,TERMINAL_ID_RISK_1DAY_WINDOW<=0.10","TERMINAL_ID_RISK_7DAY_WINDOW>0.42,TERMINAL_ID_NB_TX_7DAY_WINDOW<=9.50","TERMINAL_ID_RISK_30DAY_WINDOW>0.09,TERMINAL_ID_NB_TX_7DAY_WINDOW<=9.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.42,TERMINAL_ID_RISK_30DAY_WINDOW<=0.08","TERMINAL_ID_RISK_30DAY_WINDOW>0.09,TERMINAL_ID_NB_TX_30DAY_WINDOW<=33.00"
0,24.52,2.0,107.50499999999995,14.0,92.59071428571427,43.0,91.31581395348837,3.0,0.0,5.0,0.0,21.0,0.0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1,163.75,4.0,90.1425000000001,14.0,81.31071428571418,88.0,96.43886363636362,1.0,0.0,2.0,0.0,18.0,0.0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,48.52,2.0,37.684999999999995,13.0,82.59000000000002,56.0,79.31571428571428,2.0,0.0,5.0,0.0,20.0,0.0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
3,59.72,6.0,42.669999999999995,29.0,38.501034482758634,99.0,36.072828282828276,0.0,0.0,4.0,0.0,21.0,0.0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,18.19,7.0,39.237142857142864,29.0,48.25724137931033,98.0,49.51346938775513,0.0,0.0,5.0,0.0,14.0,0.0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,49.65,4.0,53.22000000000002,26.0,35.67230769230771,81.0,34.86716049382717,3.0,0.0,3.0,0.0,13.0,0.07692307692307693,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
6,158.03,4.0,111.59999999999997,31.0,91.88838709677425,95.0,82.1562105263158,4.0,0.0,11.0,0.0,31.0,0.0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,8.49,4.0,7.207500000000003,24.0,5.938750000000005,109.0,5.662385321100921,0.0,0.0,4.0,0.0,20.0,0.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,11.15,5.0,16.87999999999999,25.0,19.651200000000006,85.0,18.594235294117656,1.0,0.0,4.0,0.0,15.0,0.0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
9,59.37,2.0,64.24499999999999,6.0,77.1066666666665,41.0,96.73243902439025,0.0,0.0,2.0,0.0,10.0,0.0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
10,17.63,3.0,47.860000000000014,14.0,41.42357142857146,63.0,36.640476190476214,1.0,0.0,6.0,0.0,33.0,0.0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
11,60.84,2.0,57.255000000000024,12.0,50.53666666666667,39.0,50.843076923076914,1.0,0.0,2.0,0.0,11.0,0.0,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
12,3.08,8.0,28.07375,27.0,34.70703703703709,135.0,36.14044444444441,1.0,0.0,9.0,0.0,31.0,0.0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
13,56.4,4.0,48.465,23.0,71.91652173913043,97.0,62.663195876288675,0.0,0.0,4.0,0.0,17.0,0.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
14,66.17,6.0,33.52333333333334,26.0,28.937692307692302,104.0,32.305480769230776,0.0,0.0,3.0,0.0,23.0,0.0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,76.08,4.0,137.92000000000013,21.0,106.60095238095238,95.0,101.93884210526315,1.0,0.0,4.0,0.0,18.0,0.0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
