,TX_AMOUNT,CUSTOMER_ID_NB_TX_1DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW,CUSTOMER_ID_NB_TX_7DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW,CUSTOMER_ID_NB_TX_30DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW,TERMINAL_ID_NB_TX_1DAY_WINDOW,TERMINAL_ID_RISK_1DAY_WINDOW,TERMINAL_ID_NB_TX_7DAY_WINDOW,TERMINAL_ID_RISK_7DAY_WINDOW,TERMINAL_ID_NB_TX_30DAY_WINDOW,TERMINAL_ID_RISK_30DAY_WINDOW,TX_DURING_WEEKEND,TX_DURING_NIGHT,TX_AMOUNT>220.81,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=218.42,CUSTOMER_ID_NB_TX_7DAY_WINDOW>7.50,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=131.46,CUSTOMER_ID_NB_TX_30DAY_WINDOW>24.50,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=104.13,CUSTOMER_ID_NB_TX_1DAY_WINDOW>6.50,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75,TERMINAL_ID_NB_TX_7DAY_WINDOW>2.50,TERMINAL_ID_RISK_7DAY_WINDOW<=0.65,TERMINAL_ID_NB_TX_30DAY_WINDOW>5.50,TERMINAL_ID_RISK_30DAY_WINDOW<=0.09,TX_DURING_NIGHT>0.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50,"TX_AMOUNT<=220.81,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=115.70","TX_AMOUNT<=220.81,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=7.50","TX_AMOUNT<=220.81,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=102.99","TX_AMOUNT<=220.81,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=24.50","TX_AMOUNT<=220.81,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=104.13","TX_AMOUNT<=220.81,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75","TX_AMOUNT<=220.81,TERMINAL_ID_NB_TX_7DAY_WINDOW<=9.50","TX_AMOUNT<=220.81,TERMINAL_ID_RISK_7DAY_WINDOW<=0.65","TX_AMOUNT<=220.81,TERMINAL_ID_NB_TX_30DAY_WINDOW<=5.50","TX_AMOUNT<=220.81,TERMINAL_ID_RISK_30DAY_WINDOW<=0.09","CUSTOMER_ID_NB_TX_7DAY_WINDOW<=7.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=1.50","CUSTOMER_ID_NB_TX_1DAY_WINDOW<=6.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=2.50","TERMINAL_ID_NB_TX_7DAY_WINDOW<=2.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=3.50","TERMINAL_ID_NB_TX_30DAY_WINDOW<=5.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=4.50","TX_DURING_NIGHT<=0.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=5.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>218.42,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=131.89","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>218.42,TERMINAL_ID_RISK_7DAY_WINDOW<=0.65","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=10.50","TERMINAL_ID_NB_TX_7DAY_WINDOW<=2.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=7.50","TERMINAL_ID_NB_TX_30DAY_WINDOW<=5.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=24.00","CUSTOMER_ID_NB_TX_7DAY_WINDOW<=7.50,TX_DURING_NIGHT<=0.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=105.86","TERMINAL_ID_RISK_7DAY_WINDOW>0.65,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=100.05","TERMINAL_ID_RISK_30DAY_WINDOW>0.09,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=102.77","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=43.50","CUSTOMER_ID_NB_TX_30DAY_WINDOW<=24.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=3.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.65,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=60.00","CUSTOMER_ID_NB_TX_30DAY_WINDOW<=24.50,TERMINAL_ID_NB_TX_30DAY_WINDOW<=5.50","CUSTOMER_ID_NB_TX_30DAY_WINDOW<=24.50,TX_DURING_NIGHT<=0.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=100.82","TERMINAL_ID_RISK_7DAY_WINDOW>0.65,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=98.16","TERMINAL_ID_RISK_30DAY_WINDOW>0.09,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=98.16","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50","TERMINAL_ID_NB_TX_7DAY_WINDOW<=2.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50","TX_DURING_NIGHT<=0.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_7DAY_WINDOW<=11.00","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_30DAY_WINDOW<=25.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TX_DURING_NIGHT<=0.50","TERMINAL_ID_NB_TX_30DAY_WINDOW<=5.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=1.50","TERMINAL_ID_NB_TX_7DAY_WINDOW<=2.50,TX_DURING_NIGHT<=0.50"
0,22.29,2.0,19.279999999999987,26.0,14.474230769230754,110.0,15.294636363636354,1.0,0.0,6.0,0.0,21.0,0.0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,40.61,2.0,53.429999999999914,11.0,46.487272727272746,60.0,50.72966666666667,1.0,0.0,4.0,0.0,16.0,0.0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,35.77,6.0,23.363333333333347,39.0,26.67923076923077,119.0,25.274033613445383,0.0,0.0,5.0,0.0,20.0,0.0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,13.11,2.0,14.240000000000027,18.0,10.3838888888889,98.0,10.222857142857132,2.0,0.0,4.0,0.0,17.0,0.0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,64.67,2.0,94.71000000000005,11.0,82.87727272727274,31.0,83.19193548387099,1.0,0.0,5.0,0.0,19.0,0.0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,13.69,2.0,33.41499999999996,21.0,21.463333333333317,68.0,26.167647058823526,1.0,0.0,2.0,0.0,13.0,0.0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,3.5,2.0,4.825000000000009,19.0,10.686842105263155,69.0,10.818115942028992,0.0,0.0,7.0,0.0,20.0,0.0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,50.92,1.0,50.91999999999998,11.0,37.99999999999997,42.0,36.11071428571431,0.0,0.0,3.0,0.0,18.0,0.0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,25.73,3.0,23.67666666666666,12.0,27.259999999999973,47.0,31.905957446808507,0.0,0.0,7.0,0.0,21.0,0.0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,21.22,3.0,71.0733333333332,17.0,73.68235294117638,88.0,79.25215909090917,1.0,0.0,5.0,0.0,25.0,0.0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30.03,4.0,30.342500000000015,30.0,55.54433333333332,109.0,48.41220183486243,0.0,0.0,3.0,0.0,16.0,0.0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,71.07,4.0,67.50750000000005,20.0,74.9025,88.0,63.42022727272724,3.0,0.0,8.0,0.0,32.0,0.0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,30.34,6.0,54.260000000000026,32.0,57.390937500000085,110.0,66.20272727272729,2.0,0.0,7.0,0.0,19.0,0.0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,22.27,2.0,24.86499999999998,17.0,37.93882352941176,49.0,34.87061224489796,0.0,0.0,2.0,0.0,13.0,0.0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,6.89,4.0,5.3925,17.0,6.145882352941177,95.0,6.159473684210524,0.0,0.0,5.0,0.0,18.0,0.0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,36.66,1.0,36.66000000000007,14.0,63.22928571428573,66.0,75.12606060606065,0.0,0.0,1.0,0.0,7.0,0.0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,17.02,1.0,17.020000000000003,2.0,19.939999999999998,6.0,16.786666666666672,0.0,0.0,2.0,0.0,14.0,0.0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
