,TX_AMOUNT,CUSTOMER_ID_NB_TX_1DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW,CUSTOMER_ID_NB_TX_7DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW,CUSTOMER_ID_NB_TX_30DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW,TERMINAL_ID_NB_TX_1DAY_WINDOW,TERMINAL_ID_RISK_1DAY_WINDOW,TERMINAL_ID_NB_TX_7DAY_WINDOW,TERMINAL_ID_RISK_7DAY_WINDOW,TERMINAL_ID_NB_TX_30DAY_WINDOW,TERMINAL_ID_RISK_30DAY_WINDOW,TX_DURING_WEEKEND,TX_DURING_NIGHT,TX_AMOUNT>221.49,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=196.29,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=5.50,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=211.33,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=123.88,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75,TERMINAL_ID_NB_TX_7DAY_WINDOW<=6.50,TERMINAL_ID_RISK_7DAY_WINDOW<=0.37,TERMINAL_ID_NB_TX_30DAY_WINDOW>24.50,TERMINAL_ID_RISK_30DAY_WINDOW<=0.03,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=23.50,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=95.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=2.50,TX_DURING_NIGHT<=0.50,"TX_AMOUNT<=221.49,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75","TX_AMOUNT<=221.49,TERMINAL_ID_RISK_7DAY_WINDOW<=0.37","TX_AMOUNT<=221.49,TERMINAL_ID_RISK_30DAY_WINDOW<=0.03","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>196.29,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=5.50","CUSTOMER_ID_NB_TX_1DAY_WINDOW>5.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=28.50","CUSTOMER_ID_NB_TX_1DAY_WINDOW>5.50,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=68.50","CUSTOMER_ID_NB_TX_1DAY_WINDOW>5.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=5.00","TERMINAL_ID_RISK_7DAY_WINDOW>0.37,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=8.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>196.29,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=25.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>196.29,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=134.58","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>196.29,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=101.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>196.29,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=134.21","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>196.29,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>196.29,TERMINAL_ID_NB_TX_7DAY_WINDOW<=2.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>196.29,TERMINAL_ID_RISK_7DAY_WINDOW<=0.37","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>196.29,TERMINAL_ID_NB_TX_30DAY_WINDOW<=26.00","CUSTOMER_ID_NB_TX_7DAY_WINDOW>23.50,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=60.50","CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW>123.88,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=20.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=29.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.37,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=24.50","TERMINAL_ID_NB_TX_30DAY_WINDOW<=24.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=26.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=211.33","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>211.33,TERMINAL_ID_RISK_7DAY_WINDOW<=0.37","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>211.33,TERMINAL_ID_NB_TX_30DAY_WINDOW<=19.00","CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW>123.88,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=86.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=20.00","TERMINAL_ID_RISK_7DAY_WINDOW>0.37,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=115.00","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=13.86","TERMINAL_ID_RISK_7DAY_WINDOW>0.37,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=17.31","TERMINAL_ID_RISK_7DAY_WINDOW>0.37,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_7DAY_WINDOW<=2.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_RISK_7DAY_WINDOW<=0.33","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_30DAY_WINDOW<=21.00","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_RISK_30DAY_WINDOW<=0.05","TERMINAL_ID_NB_TX_30DAY_WINDOW<=24.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=2.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.37,TERMINAL_ID_NB_TX_30DAY_WINDOW<=21.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.37,TERMINAL_ID_RISK_30DAY_WINDOW<=0.04"
0,6.82,4.0,5.135000000000001,20.0,6.294499999999999,85.0,7.639529411764709,1.0,0.0,4.0,0.0,13.0,0.0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20.26,3.0,53.376666666666615,12.0,75.2858333333333,37.0,76.0772972972973,0.0,0.0,2.0,0.0,10.0,0.0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,66.16,1.0,66.15999999999997,7.0,54.344285714285775,37.0,58.28945945945946,1.0,0.0,7.0,0.0,16.0,0.0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,8.95,7.0,19.302857142857153,28.0,25.223214285714285,97.0,26.757216494845355,0.0,0.0,4.0,0.0,26.0,0.0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,41.15,2.0,28.84499999999999,12.0,24.834999999999997,46.0,24.824347826086957,2.0,0.0,7.0,0.0,17.0,0.0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,33.62,4.0,41.70250000000001,35.0,67.59657142857144,104.0,83.94057692307693,1.0,0.0,6.0,0.0,25.0,0.0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,103.9,2.0,60.97500000000005,11.0,62.93818181818178,44.0,67.29045454545452,1.0,0.0,3.0,0.0,15.0,0.0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8.81,3.0,27.09333333333332,14.0,66.16785714285714,36.0,68.35666666666664,0.0,0.0,9.0,0.0,27.0,0.0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,50.09,4.0,103.56500000000011,28.0,101.71571428571433,99.0,94.96000000000001,1.0,0.0,9.0,0.0,38.0,0.0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,17.4,5.0,27.813999999999986,21.0,30.182380952380964,103.0,28.45446601941748,2.0,0.0,2.0,0.0,16.0,0.0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,29.58,4.0,69.26749999999998,14.0,69.885,49.0,85.70714285714286,0.0,0.0,6.0,0.0,19.0,0.0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,28.41,6.0,31.738333333333333,27.0,38.88407407407409,89.0,41.06539325842697,1.0,0.0,5.0,0.0,23.0,0.0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,74.28,3.0,58.09666666666663,17.0,66.74000000000001,73.0,74.4650684931507,0.0,0.0,5.0,0.0,12.0,0.0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,18.76,4.0,22.932499999999997,19.0,23.775789473684227,95.0,23.99936842105267,2.0,0.0,5.0,0.0,20.0,0.0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,31.77,4.0,78.81000000000009,34.0,68.88499999999998,136.0,75.35257352941177,0.0,0.0,5.0,0.0,17.0,0.0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,17.73,1.0,17.73000000000004,18.0,27.019444444444424,80.0,27.977125000000008,2.0,0.0,2.0,0.0,12.0,0.0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,50.31,3.0,56.32333333333333,11.0,47.430909090909154,86.0,52.70372093023255,0.0,0.0,8.0,0.0,26.0,0.0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,89.88,4.0,82.16249999999997,23.0,77.75217391304356,104.0,80.81596153846148,0.0,0.0,1.0,0.0,9.0,0.0,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
