,TX_AMOUNT,CUSTOMER_ID_NB_TX_1DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW,CUSTOMER_ID_NB_TX_7DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW,CUSTOMER_ID_NB_TX_30DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW,TERMINAL_ID_NB_TX_1DAY_WINDOW,TERMINAL_ID_RISK_1DAY_WINDOW,TERMINAL_ID_NB_TX_7DAY_WINDOW,TERMINAL_ID_RISK_7DAY_WINDOW,TERMINAL_ID_NB_TX_30DAY_WINDOW,TERMINAL_ID_RISK_30DAY_WINDOW,TX_DURING_WEEKEND,TX_DURING_NIGHT,TX_AMOUNT>217.28,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>212.44,CUSTOMER_ID_NB_TX_7DAY_WINDOW>13.50,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>203.02,CUSTOMER_ID_NB_TX_30DAY_WINDOW>73.50,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=98.90,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=1.50,TERMINAL_ID_RISK_7DAY_WINDOW<=0.46,TERMINAL_ID_RISK_30DAY_WINDOW<=0.07,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50,TERMINAL_ID_NB_TX_7DAY_WINDOW>3.50,TERMINAL_ID_NB_TX_30DAY_WINDOW>11.50,TERMINAL_ID_RISK_1DAY_WINDOW<=0.17,TX_DURING_NIGHT>0.50,"TX_AMOUNT<=217.28,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=167.68","TX_AMOUNT<=217.28,TERMINAL_ID_RISK_7DAY_WINDOW<=0.46","TX_AMOUNT<=217.28,TERMINAL_ID_RISK_30DAY_WINDOW<=0.07","CUSTOMER_ID_NB_TX_7DAY_WINDOW<=13.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=5.50","CUSTOMER_ID_NB_TX_30DAY_WINDOW<=73.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=4.50","CUSTOMER_ID_NB_TX_1DAY_WINDOW>1.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50","CUSTOMER_ID_NB_TX_1DAY_WINDOW>1.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=2.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.46,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=7.50","CUSTOMER_ID_NB_TX_1DAY_WINDOW>1.50,TERMINAL_ID_NB_TX_30DAY_WINDOW<=15.50","TERMINAL_ID_RISK_30DAY_WINDOW>0.07,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=7.50","CUSTOMER_ID_NB_TX_1DAY_WINDOW>1.50,TX_DURING_NIGHT<=0.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=212.44,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=203.02","CUSTOMER_ID_NB_TX_7DAY_WINDOW<=13.50,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=66.50","CUSTOMER_ID_NB_TX_7DAY_WINDOW<=13.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=3.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.46,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=32.00","CUSTOMER_ID_NB_TX_7DAY_WINDOW<=13.50,TERMINAL_ID_NB_TX_30DAY_WINDOW<=11.50","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=203.02,TERMINAL_ID_RISK_7DAY_WINDOW<=0.46","CUSTOMER_ID_NB_TX_30DAY_WINDOW<=73.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50","CUSTOMER_ID_NB_TX_30DAY_WINDOW<=73.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=2.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.46,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=42.50","CUSTOMER_ID_NB_TX_30DAY_WINDOW<=73.50,TERMINAL_ID_NB_TX_30DAY_WINDOW<=11.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.46,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=52.94","TERMINAL_ID_NB_TX_7DAY_WINDOW<=3.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.46,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50","TERMINAL_ID_NB_TX_30DAY_WINDOW<=11.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50","TERMINAL_ID_RISK_30DAY_WINDOW>0.07,TERMINAL_ID_NB_TX_1DAY_WINDOW<=2.50","TERMINAL_ID_NB_TX_1DAY_WINDOW>0.50,TX_DURING_NIGHT<=0.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.46,TERMINAL_ID_RISK_1DAY_WINDOW<=0.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.17,TX_DURING_WEEKEND<=-2.00","TX_DURING_NIGHT<=0.50,TERMINAL_ID_RISK_1DAY_WINDOW<=0.17","TERMINAL_ID_RISK_7DAY_WINDOW>0.46,TERMINAL_ID_NB_TX_7DAY_WINDOW<=2.50","TERMINAL_ID_NB_TX_30DAY_WINDOW<=11.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=1.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.46,TERMINAL_ID_NB_TX_30DAY_WINDOW<=24.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.46,TERMINAL_ID_RISK_30DAY_WINDOW<=0.23","TERMINAL_ID_RISK_7DAY_WINDOW>0.46,TX_DURING_NIGHT<=0.50","TERMINAL_ID_NB_TX_30DAY_WINDOW<=11.50,TX_DURING_NIGHT<=0.50"
0,52.96,3.0,64.7,12.0,42.02750000000001,40.0,38.2385,4.0,0.0,6.0,0.0,18.0,0.0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8.45,5.0,9.660000000000002,31.0,12.154838709677414,111.0,10.600720720720725,0.0,0.0,2.0,0.0,20.0,0.0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,54.73,1.0,54.730000000000366,25.0,63.45399999999997,100.0,68.68420000000003,1.0,0.0,3.0,0.0,23.0,0.0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,84.98,5.0,102.674,24.0,85.62916666666662,74.0,92.74824324324327,0.0,0.0,4.0,0.0,14.0,0.0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,54.95,4.0,72.32000000000006,24.0,62.35916666666663,85.0,63.34894117647059,0.0,0.0,1.0,0.0,13.0,0.0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,11.03,6.0,7.115000000000012,29.0,13.163103448275857,120.0,13.17133333333333,1.0,0.0,5.0,0.0,16.0,0.0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,94.33,2.0,64.46000000000001,6.0,62.876666666666665,13.0,56.850769230769224,1.0,0.0,2.0,0.0,21.0,0.0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,13.96,5.0,5.121999999999995,25.0,7.170399999999997,110.0,6.964000000000001,2.0,0.0,5.0,0.0,24.0,0.0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,41.97,2.0,46.35999999999997,8.0,55.13249999999999,33.0,48.49333333333335,2.0,0.0,10.0,0.0,21.0,0.0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,55.88,3.0,38.83666666666664,20.0,40.19650000000001,85.0,36.16458823529412,2.0,0.0,5.0,0.0,24.0,0.0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,28.95,3.0,36.11999999999998,18.0,47.099999999999994,74.0,47.14864864864868,0.0,0.0,0.0,0.0,16.0,0.0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,56.9,2.0,51.85499999999992,13.0,67.97615384615385,69.0,61.96202898550723,1.0,0.0,5.0,0.0,22.0,0.0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,98.65,6.0,54.978333333333346,22.0,53.672272727272734,90.0,60.65922222222223,1.0,0.0,6.0,0.0,19.0,0.0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,77.8,4.0,67.47,28.0,71.3839285714286,103.0,72.01737864077671,0.0,0.0,10.0,0.0,23.0,0.043478260869565216,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,40.96,3.0,24.369999999999994,15.0,27.87599999999999,65.0,28.718615384615383,0.0,0.0,3.0,0.0,19.0,0.0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,20.36,1.0,20.360000000000017,4.0,20.572499999999994,21.0,19.600952380952386,0.0,0.0,4.0,0.0,18.0,0.05555555555555555,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,9.12,1.0,9.11999999999995,15.0,19.824000000000034,108.0,17.219999999999988,1.0,0.0,3.0,0.0,19.0,0.0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
