,TX_AMOUNT,CUSTOMER_ID_NB_TX_1DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW,CUSTOMER_ID_NB_TX_7DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW,CUSTOMER_ID_NB_TX_30DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW,TERMINAL_ID_NB_TX_1DAY_WINDOW,TERMINAL_ID_RISK_1DAY_WINDOW,TERMINAL_ID_NB_TX_7DAY_WINDOW,TERMINAL_ID_RISK_7DAY_WINDOW,TERMINAL_ID_NB_TX_30DAY_WINDOW,TERMINAL_ID_RISK_30DAY_WINDOW,TX_DURING_WEEKEND,TX_DURING_NIGHT,TX_AMOUNT>221.27,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=154.92,CUSTOMER_ID_NB_TX_7DAY_WINDOW>32.50,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=154.10,CUSTOMER_ID_NB_TX_1DAY_WINDOW>1.50,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=98.30,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75,TERMINAL_ID_RISK_7DAY_WINDOW<=0.37,TERMINAL_ID_NB_TX_30DAY_WINDOW<=17.50,TERMINAL_ID_RISK_30DAY_WINDOW<=0.10,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=21.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=3.50,TX_DURING_NIGHT<=0.50,"TX_AMOUNT<=221.27,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=150.72","TX_AMOUNT<=221.27,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75","TX_AMOUNT<=221.27,TERMINAL_ID_RISK_7DAY_WINDOW<=0.37","TX_AMOUNT<=221.27,TERMINAL_ID_RISK_30DAY_WINDOW<=0.10","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>154.92,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=2.50","CUSTOMER_ID_NB_TX_1DAY_WINDOW<=1.50,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=25.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=4.50","CUSTOMER_ID_NB_TX_1DAY_WINDOW<=1.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=3.50","TERMINAL_ID_NB_TX_30DAY_WINDOW>17.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=1.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>154.92,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=15.00","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>154.92,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=59.14","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>154.92,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=82.42","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>154.92,TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=154.92","TERMINAL_ID_RISK_7DAY_WINDOW>0.37,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=154.92","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>154.10,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=4.50","TERMINAL_ID_NB_TX_1DAY_WINDOW>0.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=30.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=10.00","TERMINAL_ID_NB_TX_30DAY_WINDOW>17.50,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=19.50","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>154.10,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=28.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=39.13","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>154.10,TERMINAL_ID_NB_TX_7DAY_WINDOW<=9.50","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>154.10,TERMINAL_ID_NB_TX_30DAY_WINDOW<=25.50","TERMINAL_ID_NB_TX_1DAY_WINDOW>0.50,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=103.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=84.00","TERMINAL_ID_NB_TX_30DAY_WINDOW>17.50,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=88.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=83.62","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50","TERMINAL_ID_NB_TX_1DAY_WINDOW>0.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=5.50","TERMINAL_ID_NB_TX_1DAY_WINDOW>0.50,TERMINAL_ID_NB_TX_30DAY_WINDOW<=7.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_7DAY_WINDOW<=3.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_RISK_7DAY_WINDOW<=0.18","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_30DAY_WINDOW<=30.00","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_RISK_30DAY_WINDOW<=0.09","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TX_DURING_NIGHT<=0.50","TERMINAL_ID_NB_TX_30DAY_WINDOW>17.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=2.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.37,TERMINAL_ID_RISK_30DAY_WINDOW<=0.38"
0,41.02,4.0,41.375000000000014,30.0,65.13833333333339,108.0,66.15888888888891,1.0,0.0,4.0,0.0,21.0,0.0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,43.87,3.0,48.1933333333333,16.0,54.24187500000002,80.0,49.537875,0.0,0.0,4.0,0.0,18.0,0.0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,52.46,1.0,52.45999999999997,4.0,87.29,13.0,88.55846153846154,2.0,0.0,9.0,0.0,25.0,0.0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3,3.64,5.0,3.3160000000000074,33.0,4.568787878787876,114.0,4.886315789473683,2.0,0.0,4.0,0.0,15.0,0.0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,86.69,4.0,53.17999999999998,31.0,52.19258064516131,115.0,50.609217391304334,0.0,0.0,5.0,0.0,23.0,0.0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4.86,1.0,4.860000000000006,12.0,9.81166666666667,52.0,10.914038461538457,2.0,0.0,8.0,0.0,25.0,0.0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6,12.8,3.0,34.15666666666667,17.0,63.68294117647059,80.0,66.70599999999999,1.0,0.0,4.0,0.0,26.0,0.0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
7,20.52,4.0,24.942500000000006,14.0,34.295000000000016,54.0,35.47203703703705,0.0,0.0,3.0,0.0,14.0,0.0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,19.58,5.0,15.319999999999988,21.0,15.518571428571411,82.0,15.953780487804899,3.0,0.0,11.0,0.0,27.0,0.0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
9,60.19,6.0,42.67333333333331,37.0,34.7291891891892,110.0,37.198727272727254,0.0,0.0,5.0,0.0,21.0,0.0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,156.88,3.0,108.32333333333334,9.0,110.95333333333332,57.0,98.39719298245616,3.0,0.0,3.0,0.0,12.0,0.0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
11,103.02,2.0,119.87499999999997,17.0,100.81117647058824,65.0,98.68938461538457,1.0,0.0,3.0,0.0,15.0,0.0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
12,88.44,3.0,90.81333333333332,15.0,86.29666666666665,55.0,71.7970909090909,0.0,0.0,8.0,0.0,29.0,0.0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,45.71,1.0,45.71000000000017,12.0,34.384166666666665,79.0,28.003544303797472,1.0,0.0,4.0,0.0,17.0,0.0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
14,13.8,3.0,25.026666666666642,27.0,24.24703703703704,92.0,21.85760869565218,0.0,0.0,1.0,0.0,19.0,0.0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,3.07,3.0,9.456666666666662,14.0,23.105714285714296,36.0,23.869722222222222,2.0,0.0,3.0,0.0,22.0,0.0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
16,63.68,2.0,53.940000000000026,11.0,36.05818181818181,44.0,37.30613636363637,3.0,0.0,12.0,0.0,33.0,0.0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
17,0.52,1.0,0.5199999999999716,7.0,18.80142857142857,29.0,22.700344827586203,1.0,0.0,5.0,0.0,21.0,0.0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
