,TX_AMOUNT,CUSTOMER_ID_NB_TX_1DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW,CUSTOMER_ID_NB_TX_7DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW,CUSTOMER_ID_NB_TX_30DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW,TERMINAL_ID_NB_TX_1DAY_WINDOW,TERMINAL_ID_RISK_1DAY_WINDOW,TERMINAL_ID_NB_TX_7DAY_WINDOW,TERMINAL_ID_RISK_7DAY_WINDOW,TERMINAL_ID_NB_TX_30DAY_WINDOW,TERMINAL_ID_RISK_30DAY_WINDOW,TX_DURING_WEEKEND,TX_DURING_NIGHT,TX_AMOUNT>220.44,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>273.02,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=22.50,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=128.79,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=76.50,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=105.20,CUSTOMER_ID_NB_TX_1DAY_WINDOW>5.50,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75,TERMINAL_ID_RISK_7DAY_WINDOW<=0.59,TERMINAL_ID_NB_TX_30DAY_WINDOW<=27.50,TERMINAL_ID_RISK_30DAY_WINDOW<=0.17,TERMINAL_ID_NB_TX_7DAY_WINDOW<=4.50,TERMINAL_ID_NB_TX_1DAY_WINDOW>3.50,TX_DURING_NIGHT<=0.50,"TX_AMOUNT<=220.44,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=4.50","TX_AMOUNT<=220.44,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=7.01","TX_AMOUNT<=220.44,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=22.50","TX_AMOUNT<=220.44,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=9.62","TX_AMOUNT<=220.44,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=76.50","TX_AMOUNT<=220.44,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=10.17","TX_AMOUNT<=220.44,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75","TX_AMOUNT<=220.44,TERMINAL_ID_RISK_7DAY_WINDOW<=0.59","TX_AMOUNT<=220.44,TERMINAL_ID_NB_TX_30DAY_WINDOW<=27.50","TX_AMOUNT<=220.44,TERMINAL_ID_RISK_30DAY_WINDOW<=0.17","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>128.79,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=3.50","CUSTOMER_ID_NB_TX_30DAY_WINDOW>76.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=4.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=1.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=273.02,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=128.79","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=273.02,TERMINAL_ID_RISK_1DAY_WINDOW<=0.75","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=273.02,TERMINAL_ID_RISK_30DAY_WINDOW<=0.17","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>128.79,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=17.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=22.50","CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>128.79,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=81.26","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW<=18.73","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=116.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=10.36","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50","TX_DURING_NIGHT>0.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_7DAY_WINDOW<=7.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TERMINAL_ID_NB_TX_30DAY_WINDOW<=26.00","TERMINAL_ID_RISK_1DAY_WINDOW>0.75,TX_DURING_NIGHT<=0.50","TERMINAL_ID_RISK_7DAY_WINDOW>0.59,TERMINAL_ID_NB_TX_30DAY_WINDOW<=27.50"
0,31.91,4.0,31.01,26.0,30.039615384615388,125.0,30.512320000000013,0.0,0.0,5.0,0.0,38.0,0.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
1,26.54,4.0,29.157499999999985,23.0,32.690869565217376,81.0,32.536666666666655,1.0,0.0,4.0,0.0,34.0,0.0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
2,42.42,3.0,46.599999999999966,16.0,52.44937499999997,80.0,47.90025000000001,0.0,0.0,5.0,0.0,18.0,0.0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
3,17.67,3.0,36.17666666666671,19.0,35.97263157894735,79.0,38.04151898734182,1.0,1.0,2.0,0.5,11.0,0.09090909090909091,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0
4,71.24,5.0,78.1920000000001,29.0,80.0506896551723,106.0,75.79537735849051,3.0,0.0,7.0,0.0,26.0,0.0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5,47.57,3.0,59.636666666666656,22.0,68.26499999999997,102.0,63.46607843137256,1.0,0.0,5.0,0.0,26.0,0.0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
6,116.2,6.0,86.01833333333333,21.0,69.39999999999998,77.0,79.46051948051942,0.0,0.0,2.0,0.0,16.0,0.0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
7,101.24,3.0,113.48666666666661,25.0,79.1032,79.0,84.99443037974679,0.0,0.0,7.0,0.0,24.0,0.0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
8,83.8,4.0,123.11499999999994,22.0,115.04181818181814,126.0,107.70095238095237,1.0,0.0,8.0,0.0,36.0,0.0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
9,47.96,5.0,36.877999999999986,32.0,54.32749999999999,105.0,53.20990476190476,1.0,0.0,8.0,0.0,45.0,0.0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
10,40.9,7.0,50.38714285714288,21.0,47.94761904761906,76.0,54.069868421052625,0.0,0.0,8.0,0.0,20.0,0.0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
11,31.59,2.0,58.780000000000015,11.0,53.409090909090885,61.0,48.32459016393443,0.0,0.0,4.0,0.0,30.0,0.0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
12,2.89,4.0,31.585000000000022,22.0,46.0381818181818,111.0,50.57873873873877,0.0,0.0,3.0,0.0,15.0,0.0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
13,25.06,5.0,26.06600000000002,27.0,42.058518518518504,95.0,40.00621052631571,0.0,0.0,4.0,0.0,29.0,0.0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
14,84.27,2.0,73.79499999999992,19.0,62.26947368421053,86.0,68.3689534883721,2.0,0.0,6.0,0.0,22.0,0.0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
