,TX_AMOUNT,CUSTOMER_ID_NB_TX_1DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW,CUSTOMER_ID_NB_TX_7DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW,CUSTOMER_ID_NB_TX_30DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW,TERMINAL_ID_NB_TX_1DAY_WINDOW,TERMINAL_ID_RISK_1DAY_WINDOW,TERMINAL_ID_NB_TX_7DAY_WINDOW,TERMINAL_ID_RISK_7DAY_WINDOW,TERMINAL_ID_NB_TX_30DAY_WINDOW,TERMINAL_ID_RISK_30DAY_WINDOW,TX_DURING_WEEKEND,TX_DURING_NIGHT,TX_AMOUNT>219.56,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW>223.79,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=41.50,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW>395.34,CUSTOMER_ID_NB_TX_30DAY_WINDOW>94.50,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW<=139.15,CUSTOMER_ID_NB_TX_1DAY_WINDOW>7.50,TERMINAL_ID_RISK_1DAY_WINDOW<=0.42,TERMINAL_ID_NB_TX_7DAY_WINDOW<=2.50,TERMINAL_ID_RISK_7DAY_WINDOW<=0.58,TERMINAL_ID_NB_TX_30DAY_WINDOW<=28.50,TERMINAL_ID_RISK_30DAY_WINDOW<=0.10,TX_DURING_NIGHT<=0.50,TERMINAL_ID_NB_TX_1DAY_WINDOW>1.50,"TX_AMOUNT<=219.56,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=229.09","TX_AMOUNT<=219.56,TERMINAL_ID_RISK_7DAY_WINDOW<=0.58","TX_AMOUNT<=219.56,TERMINAL_ID_RISK_30DAY_WINDOW<=0.10","CUSTOMER_ID_NB_TX_7DAY_WINDOW>41.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=5.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.42,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=2.50","TERMINAL_ID_NB_TX_30DAY_WINDOW>28.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=3.50","TX_DURING_NIGHT>0.50,CUSTOMER_ID_NB_TX_1DAY_WINDOW<=2.50","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=223.79,TERMINAL_ID_NB_TX_7DAY_WINDOW<=7.00","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=223.79,TERMINAL_ID_RISK_7DAY_WINDOW<=0.58","CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW<=223.79,TERMINAL_ID_RISK_30DAY_WINDOW<=0.10","CUSTOMER_ID_NB_TX_7DAY_WINDOW>41.50,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=129.50","CUSTOMER_ID_NB_TX_7DAY_WINDOW>41.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=0.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.42,CUSTOMER_ID_NB_TX_7DAY_WINDOW<=15.50","CUSTOMER_ID_NB_TX_7DAY_WINDOW>41.50,TERMINAL_ID_NB_TX_30DAY_WINDOW<=29.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.42,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=76.00","TERMINAL_ID_NB_TX_30DAY_WINDOW>28.50,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=129.50","TX_DURING_NIGHT>0.50,CUSTOMER_ID_NB_TX_30DAY_WINDOW<=15.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.42,TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50","TX_DURING_NIGHT>0.50,TERMINAL_ID_NB_TX_1DAY_WINDOW<=1.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.42,TERMINAL_ID_NB_TX_7DAY_WINDOW<=6.50","TERMINAL_ID_RISK_1DAY_WINDOW>0.42,TERMINAL_ID_NB_TX_30DAY_WINDOW<=20.00","TERMINAL_ID_RISK_1DAY_WINDOW>0.42,TX_DURING_NIGHT<=0.50","TERMINAL_ID_NB_TX_30DAY_WINDOW>28.50,TERMINAL_ID_NB_TX_7DAY_WINDOW<=8.50"
0,27.64,4.0,29.802499999999984,16.0,27.919999999999973,82.0,24.637317073170724,1.0,0.0,4.0,0.0,18.0,0.0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,81.56,6.0,79.86166666666662,16.0,70.34125000000002,65.0,80.56261538461543,0.0,0.0,1.0,0.0,14.0,0.0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2,56.32,5.0,46.903999999999996,32.0,34.79656250000001,91.0,34.7505494505495,0.0,0.0,8.0,0.0,21.0,0.0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3,59.27,2.0,47.65499999999994,4.0,53.93499999999997,29.0,59.11586206896555,0.0,0.0,2.0,0.0,10.0,0.0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4,146.03,4.0,129.05999999999997,21.0,92.87285714285719,97.0,75.6861855670103,1.0,0.0,7.0,0.0,24.0,0.0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
5,9.04,2.0,15.94499999999999,18.0,15.780555555555544,84.0,17.532857142857136,3.0,0.0,10.0,0.0,35.0,0.0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
6,30.91,2.0,25.840000000000018,29.0,32.47172413793102,98.0,32.97867346938776,1.0,0.0,8.0,0.0,17.0,0.0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
7,96.26,2.0,104.16000000000003,13.0,73.1884615384616,69.0,90.55492753623186,1.0,0.0,6.0,0.0,27.0,0.0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
8,27.29,4.0,35.50250000000001,27.0,33.06444444444445,117.0,29.025213675213685,0.0,0.0,1.0,0.0,16.0,0.0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
9,6.28,5.0,6.268000000000002,18.0,10.390000000000008,54.0,12.391111111111107,1.0,0.0,13.0,0.0,30.0,0.0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
10,5.45,2.0,7.515000000000002,19.0,16.64105263157894,69.0,16.845507246376805,0.0,0.0,3.0,0.0,23.0,0.0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11,38.34,4.0,44.12250000000001,20.0,35.897,61.0,33.741803278688515,1.0,0.0,2.0,0.0,9.0,0.0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
12,13.01,1.0,13.010000000000128,19.0,55.11315789473687,79.0,68.49240506329109,0.0,0.0,5.0,0.0,14.0,0.0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
13,42.53,1.0,42.52999999999996,15.0,60.22400000000002,54.0,65.77333333333334,0.0,0.0,7.0,0.0,25.0,0.0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
14,29.2,7.0,70.90285714285707,30.0,85.81300000000009,99.0,82.8871717171717,0.0,0.0,7.0,0.0,29.0,0.0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1
